"","location","total_vaccinations","people_fully_vaccinated","total_boosters_per_hundred"
"168","Taiwán",10497159,818212,NA
"169","Tayikistán",1967958,212000,NA
"170","Tanzania",218621,218621,NA
"171","Tailandia",25818666,5705200,NA
"172","Togo",535518,178621,NA
"173","Tokelau",968,NA,NA
"174","Tonga",54619,25778,NA
"175","Trinidad y Tobago",871998,377373,NA
"176","Túnez",5054931,1739839,NA
"177","Turquía",91081547,35908553,NA
"178","Turkmenistán",41993,9753,NA
"179","Tuvalu",4772,NA,NA
"180","Uganda",1297726,NA,NA
"181","Ucrania",8462610,3310320,NA
"182","Emiratos Árabes Unidos",17843063,7397933,NA
"183","Reino Unido",89865264,42072712,NA
"184","Estados Unidos",364842701,171773370,NA
"185","Uruguay",5381651,2483398,NA
"186","Uzbekistán",12103334,NA,NA
"187","Vanuatu",31042,1721,NA
"188","Venezuela",4678086,NA,NA
"189","Vietnam",17647353,1922313,NA
"190","Mundo",5078105098,1945348361,NA
"191","Yemen",311483,13322,NA
"192","Zambia",558307,248712,NA
"193","Zimbabue",3958174,1536218,NA
