FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4256545,23,1,2,4,3,4
4256546,29,1,2,4,3,4
4256672,29,1,2,4,5,1
4256673,26,1,2,4,2,4
4256674,17,1,3,4,2,2
4256675,17,1,2,2,2,3
4257115,29,2,1,4,4,1
4257381,18,1,2,2,2,4
4257402,25,2,2,5,1,3
4257404,16,1,2,5,1,2
4257428,18,1,2,3,5,3
4257429,16,2,2,5,5,4
4257465,22,1,3,2,4,3
4257467,25,2,3,2,2,2
4257655,26,2,2,4,5,2
4257863,19,2,2,1,2,4
4258012,19,2,2,5,1,2
4258044,23,2,2,2,3,2
4258045,24,1,2,5,2,4
4258434,19,2,1,5,5,2
4258438,22,2,3,3,4,4
4258867,18,2,3,4,4,1
4258868,29,1,3,3,3,1
4258936,27,1,3,3,4,
4259036,22,2,3,3,3,
4259227,28,2,2,5,3,4
4259240,20,2,3,5,2,3
4259242,19,2,3,5,3,
4259252,16,2,3,5,2,5
4259257,21,2,,4,2,5
4259285,22,2,3,5,1,2
4259383,22,1,2,4,2,2
4259386,22,1,3,4,2,2
4259428,16,2,2,5,3,1
4259499,29,1,2,2,3,2
4259513,23,1,1,5,4,3
4259606,19,1,3,4,3,3
4259608,20,1,2,4,4,2
4259619,19,1,3,4,5,3
4259724,26,2,2,5,1,3
4259935,19,1,2,1,1,5
4259939,19,1,2,5,3,3
4259959,24,1,3,5,1,5
4259966,25,2,2,5,1,4
4260178,21,2,2,4,2,2
4260181,26,1,2,4,2,1
4260225,17,1,3,,5,5
4260226,19,1,3,3,3,4
4260273,19,1,3,4,5,1
4260275,18,1,3,2,4,5
4260276,29,2,3,4,1,5
4260277,26,2,3,4,4,3
4260278,24,1,3,2,3,1
4260279,19,2,2,4,1,1
4260281,21,2,,4,2,1
4260307,22,1,3,4,4,5
4260308,20,2,2,5,4,1
4260309,19,2,2,2,4,1
4260310,27,1,2,4,2,2
4260311,16,2,2,4,2,2
4260312,22,2,3,2,2,1
4260313,29,2,2,2,4,2
4260314,20,1,2,2,4,3
4260592,29,2,2,5,2,4
4260711,18,2,3,5,2,4
4261388,17,2,2,5,5,
4261389,23,2,2,4,4,3
4261586,29,2,2,4,3,5
4261926,19,1,,5,2,1
4262323,16,2,,5,4,4
4262369,29,2,3,2,2,2
4262666,18,1,3,4,2,2
4262675,21,2,2,4,2,1
4262796,28,2,3,5,3,3
4262973,21,2,2,5,1,1
4262994,20,2,,4,5,2
4263277,19,2,3,4,2,2
4263419,18,1,2,4,,4
4263421,19,2,3,4,4,1
4263423,15,1,3,4,,
4263426,21,1,,3,2,2
4263427,17,1,2,4,,2
4263578,24,1,3,4,2,5
4263579,21,2,2,5,2,2
4263678,16,1,3,2,4,2
4263681,26,2,3,3,4,3
4263692,18,2,2,5,2,2
4263856,28,2,2,4,4,4
4263909,16,1,1,4,4,2
4263910,20,2,2,3,1,1
4263911,19,1,2,1,5,4
4264059,18,1,3,3,5,3
4264060,27,1,2,4,2,3
4264061,19,2,2,4,4,2
4264081,22,1,3,5,5,3
4264084,18,1,3,4,3,1
4264088,22,1,3,3,1,5
4264111,24,1,2,1,4,1
4264114,20,1,2,1,5,2
4264175,19,2,1,4,4,3
4264180,25,1,2,4,4,3
4264447,26,2,2,2,4,4
4264448,29,2,3,4,2,1
4264764,26,2,3,4,2,3
4264888,25,2,2,4,5,3
4264897,19,1,2,4,3,5
4265461,21,1,3,4,2,1
4266154,18,2,2,4,4,1
4266650,16,2,2,4,,1
4266691,26,2,2,4,2,4
4266803,22,2,3,2,5,2
4267223,19,1,2,1,4,1
4267224,25,2,3,4,3,3
4267449,16,1,,2,3,1
4267609,27,2,2,4,4,1
4267611,19,1,2,5,3,3
4268001,26,2,2,4,3,1
4268002,17,2,3,5,4,2
4268003,25,2,2,4,3,3
4268005,23,2,3,3,3,2
4268006,21,1,2,,2,2
4268007,27,2,3,5,5,1
4268008,20,2,2,4,2,2
4268295,29,2,3,4,2,4
4268315,17,1,2,4,4,
4268316,19,1,2,5,1,1
4268451,25,1,3,4,3,5
4268499,19,2,3,4,4,1
4268509,20,2,3,4,4,3
4268514,20,2,,4,4,2
4269116,16,1,3,4,4,4
4269119,26,2,3,4,4,2
4269120,29,1,3,4,4,3
4269540,17,2,2,5,5,2
4269641,27,1,2,4,4,5
4270443,29,2,1,3,2,4
4270510,26,2,2,5,3,1
4270511,20,2,2,5,1,5
4270530,27,2,3,3,2,2
4270533,18,2,3,3,2,3
4270580,29,1,3,3,1,1
4270646,21,1,3,4,5,2
4271147,26,2,2,4,5,1
4271148,20,2,2,3,4,1
4271187,19,1,3,3,4,5
4271401,18,1,3,3,4,1
4271408,24,1,3,2,2,4
4271411,23,2,3,4,4,5
4271413,26,2,2,2,4,4
4271414,20,2,2,5,5,2
4271416,20,2,2,5,3,3
4271423,25,1,2,1,1,2
4271426,20,1,2,4,2,5
4271520,29,2,2,4,2,1
4271521,17,1,3,3,3,5
4271522,17,1,3,4,4,2
4271523,23,1,3,5,2,
4271682,29,2,2,1,4,1
4272021,20,1,2,3,3,2
4272028,22,2,3,5,4,2
4272091,22,2,2,4,4,5
4272274,23,1,2,2,3,5
4272275,23,2,2,4,2,2
4272276,22,1,2,4,3,1
4272277,22,1,2,4,1,2
4272278,21,2,2,4,2,3
4272280,24,1,2,3,5,3
4272613,21,1,3,4,3,4
4272615,29,1,3,2,4,4
4272621,24,2,3,3,5,
4272626,19,2,2,4,4,
4272629,23,2,2,4,2,2
4272714,18,1,2,4,4,2
4272719,20,2,3,4,2,1
4272725,25,2,2,4,1,1
4272762,18,2,3,4,4,3
4272803,16,1,3,4,2,4
4272840,18,1,3,4,4,3
4272872,22,2,3,5,2,1
4272873,22,2,2,4,2,1
4273532,28,2,2,4,4,3
4273533,24,1,3,2,4,1
4273540,27,1,2,1,4,2
4273541,27,2,2,4,4,1
4273542,16,1,3,2,4,2
4273543,18,1,2,2,4,4
4273621,19,1,2,1,3,4
4273625,23,2,3,5,2,1
4273673,16,1,2,3,3,3
4273674,18,1,1,4,3,1
4273676,18,1,2,1,4,2
4273677,17,1,3,1,5,2
4274126,27,1,2,4,1,2
4274127,24,2,2,4,3,2
4274137,29,2,2,1,4,2
4274206,19,2,3,4,4,1
4274208,20,2,2,4,4,1
4274576,17,1,2,3,1,3
4274577,29,1,2,5,3,5
4274579,20,2,2,5,3,5
4274580,21,2,2,3,3,1
4274581,17,1,,5,1,4
4274582,18,1,2,5,4,2
4274675,24,2,3,4,2,4
4274680,25,1,2,1,3,4
4274687,25,1,3,1,1,4
4274689,23,2,2,4,3,4
4274915,29,1,2,5,3,2
4274924,29,2,2,4,4,3
4274925,16,2,3,5,3,4
4274926,18,2,2,5,3,2
4274929,29,2,2,5,1,2
4274930,16,2,3,5,4,4
4274932,23,1,2,2,1,2
4274936,16,2,2,5,3,1
4274937,21,1,3,3,4,1
4274938,17,1,2,5,4,2
4274939,18,2,2,4,3,
4274940,29,2,3,4,2,3
4274942,23,2,3,5,3,4
4274944,23,1,2,5,2,2
4274945,23,1,2,4,3,2
4274948,16,1,2,3,5,2
4274949,16,2,3,5,3,2
4274950,29,2,2,3,2,2
4274951,29,2,2,2,5,4
4274953,23,1,2,2,3,4
4274954,20,1,3,1,4,4
4274956,24,2,3,5,3,2
4274959,25,2,2,3,1,5
4274960,28,1,3,2,4,4
4274961,20,1,2,5,3,4
4274962,22,2,1,1,2,1
4274974,25,2,2,4,2,3
4274975,25,1,2,4,2,2
4275050,22,2,2,4,5,1
4275051,22,2,3,4,1,1
4275313,29,2,2,1,4,5
4275536,24,1,2,4,1,1
4275630,27,2,3,3,4,1
4275869,24,2,2,4,3,1
4275870,24,1,3,4,2,1
4275871,19,2,2,4,4,1
4275872,26,2,3,4,4,3
4275873,29,2,3,4,4,1
4275875,29,2,3,3,2,2
4275918,24,1,2,2,4,2
4275921,24,2,3,2,2,2
4275953,18,1,2,4,2,1
4275995,17,2,2,5,3,1
4276029,26,2,2,5,3,3
4276030,19,1,3,4,4,2
4276107,21,1,,4,1,1
4276118,19,1,2,2,2,1
4276121,25,2,3,3,4,2
4276122,18,1,2,4,4,1
4276123,22,2,,5,1,1
4276193,29,2,3,5,5,2
4276199,17,1,2,4,4,2
4276200,17,1,1,4,3,1
4276337,22,2,2,5,1,2
4276346,19,2,3,3,4,2
4276492,19,2,3,2,4,3
4276495,16,2,2,4,4,2
4276500,25,2,3,,,2
4276501,24,1,2,4,4,2
4276502,17,1,2,2,3,4
4276577,25,2,2,4,4,2
4276578,16,2,3,5,5,
4276579,18,2,3,4,4,1
4276580,26,2,3,4,2,
4276581,29,2,3,4,4,5
4276582,25,2,3,3,3,5
4276588,29,2,3,1,4,4
4276589,21,2,3,4,4,4
4276662,23,1,2,4,1,2
4276663,16,1,2,4,1,3
4276664,18,1,1,4,4,3
4276668,27,1,2,5,2,1
4276909,16,1,2,2,4,3
4276912,16,1,3,4,4,1
4276921,27,1,1,4,4,4
4276922,16,2,2,4,3,1
4276930,24,2,2,4,1,5
4277839,25,2,1,5,2,2
4277844,16,1,,3,4,4
4277845,28,2,3,4,1,4
4277892,25,2,3,5,4,2
4277988,26,2,2,4,2,4
4278298,18,2,2,5,2,3
4278300,18,1,2,4,2,3
4278458,25,2,3,1,5,1
4278459,21,1,2,5,3,5
4278469,28,1,2,1,5,5
4278470,19,1,3,5,5,2
4278501,17,2,1,3,3,3
4278588,19,2,2,3,5,4
4278592,17,2,2,3,2,5
4278617,24,2,3,3,2,1
4278972,29,1,2,3,3,4
4279194,28,2,2,5,3,5
4279231,16,1,,4,2,3
4279232,28,2,,4,4,4
4279233,18,2,3,4,4,2
4279236,28,1,2,3,3,2
4279260,25,2,2,5,4,2
4279261,18,2,2,1,4,3
4279262,26,1,3,3,3,2
4279263,17,2,2,4,2,
4279360,29,2,2,2,4,2
4279421,20,1,3,3,4,4
4279425,19,2,2,2,2,4
4279426,23,1,3,5,1,4
4279497,19,2,,4,2,4
4279500,28,2,3,4,4,
4279503,18,2,3,5,5,4
4279542,28,2,3,2,2,4
4279543,25,2,2,4,2,2
4279654,27,1,,5,1,1
4279655,24,2,2,4,2,2
4279696,29,2,2,2,3,1
4279697,28,2,2,2,3,1
4279698,25,2,2,2,5,1
4279699,18,2,2,4,3,2
4279700,17,2,2,4,,2
4279702,27,2,3,2,5,2
4279703,17,2,3,5,,1
4279742,20,2,2,5,2,5
4279743,21,1,2,1,2,1
4279751,25,2,1,4,2,2
4279803,17,1,,4,4,1
4279805,27,1,2,4,,4
4279926,17,2,3,4,4,2
4279930,26,1,2,5,3,4
4279936,20,1,1,3,2,1
4280002,26,2,3,4,4,4
4280003,22,1,3,2,4,3
4280021,29,1,3,1,2,4
4280029,27,1,3,2,2,2
4280755,23,1,2,5,5,2
4281021,26,1,2,5,1,3
4281124,27,1,3,3,2,4
4281326,19,1,3,3,2,1
4281522,28,2,,3,3,1
4281563,20,2,2,5,1,1
4281588,18,1,3,4,4,2
4281620,29,2,2,4,4,5
4281706,23,2,3,2,3,2
4281743,27,2,2,2,4,5
4281888,27,1,2,2,2,2
4281889,23,1,2,4,2,2
4281891,25,2,2,2,4,1
4281892,27,2,2,4,2,1
4281893,16,1,3,4,4,2
4282046,26,1,2,5,1,1
4282084,29,1,2,3,3,1
4282113,26,2,2,2,3,2
4282264,28,1,2,4,4,1
4282267,29,2,3,4,3,1
4282268,18,1,3,4,,5
4282269,15,1,2,4,4,5
4282270,20,2,3,4,4,2
4282271,24,1,2,4,4,5
4282291,23,2,3,5,1,2
4282295,19,1,2,2,2,2
4282353,21,2,2,5,1,2
4282444,23,2,2,4,3,5
4282505,25,2,2,3,3,
4282509,19,1,2,5,4,1
4282510,26,2,2,1,3,5
4282511,24,2,2,5,5,3
4282512,24,2,3,1,2,1
4282513,26,1,2,3,4,2
4282514,28,1,3,5,2,1
4282523,21,1,2,2,2,4
4282600,23,1,3,1,4,1
4282654,19,1,3,5,5,1
4282655,17,2,2,5,4,1
4282677,26,1,2,1,5,1
4282685,19,1,3,5,3,1
4282687,29,1,2,5,1,4
4282688,19,2,3,5,5,2
4282757,25,2,3,5,5,
4282759,21,2,2,3,4,5
4282767,23,1,2,4,2,2
4282787,17,2,2,5,1,3
4282828,24,2,2,5,2,2
4282839,17,2,1,5,2,1
4282883,29,2,3,4,4,5
4282884,28,2,2,1,3,2
4282886,25,1,3,1,5,2
4282887,17,1,3,5,5,5
4282889,19,1,3,4,4,5
4282890,18,2,3,4,4,1
4282956,16,2,3,4,4,1
4282957,17,2,2,4,3,2
4282959,25,2,2,2,2,
4283090,20,1,,5,3,4
4283095,28,2,2,5,1,1
4283153,20,2,2,5,2,2
4283226,19,1,2,3,4,1
4283265,18,2,2,4,2,1
4283275,28,2,3,2,3,1
4283333,23,2,2,3,4,2
4283391,27,2,3,5,3,4
4283399,26,2,3,5,5,3
4283869,25,2,2,4,2,2
4283872,28,1,3,3,4,4
4284000,20,2,2,5,2,4
4284181,19,1,2,4,5,4
4284182,28,1,2,2,3,3
4284201,29,1,2,2,4,2
4284202,26,1,2,1,3,2
4284577,20,1,2,3,2,1
4284578,29,2,3,2,2,1
4284579,17,1,2,3,4,1
4284654,21,2,3,2,4,5
4284868,27,1,2,2,4,5
4284933,28,2,2,5,3,2
4284976,29,2,3,2,2,5
4284977,23,1,,3,5,1
4284978,22,2,,3,3,4
4284979,25,1,,3,3,2
4284980,29,2,,3,3,2
4285018,25,2,3,4,4,4
4285026,22,1,3,2,2,5
4285141,16,1,2,4,4,2
4285232,25,1,3,4,1,2
4285235,21,1,2,1,1,
4285236,15,1,3,5,5,1
4285237,19,2,3,5,1,1
4285238,18,2,3,5,1,1
4285424,20,2,2,5,1,5
4285429,23,1,2,2,3,4
4285487,17,2,,3,3,3
4285544,19,1,3,4,4,1
4285545,21,2,2,4,4,1
4285593,27,1,2,4,2,2
4285594,20,1,2,4,1,4
4285595,21,2,3,4,2,2
4285596,20,2,2,5,1,3
4285604,25,1,2,1,5,2
4285605,25,1,3,1,5,4
4285712,27,1,2,5,1,4
4285713,29,2,2,1,3,1
4285754,20,1,2,4,2,1
4285755,22,2,3,3,5,1
4285769,29,2,2,4,2,5
4285770,21,2,2,4,3,2
4285771,19,2,2,3,3,4
4285785,27,2,2,4,4,2
4285800,29,2,2,3,4,
4285886,17,1,2,5,4,2
4285889,19,1,2,5,5,2
4286033,28,1,2,2,2,3
4286105,21,1,3,4,3,2
4286109,29,2,2,5,1,2
4286171,25,1,,3,5,2
4286172,23,1,3,5,3,
4286191,24,1,2,4,2,4
4286192,15,1,3,4,4,3
4286193,16,2,2,3,4,5
4286198,26,1,3,4,2,5
4286226,21,1,2,3,3,2
4286317,21,1,2,5,4,4
4286318,26,1,3,2,3,4
4286351,28,1,2,2,2,4
4286352,18,1,3,4,2,4
4286359,24,2,3,2,4,5
4286360,29,2,3,3,4,2
4286372,25,1,2,3,3,1
4286373,29,2,2,1,3,5
4286387,26,2,2,3,1,1
4286396,25,1,3,4,4,2
4286402,25,1,2,3,2,4
4286406,20,1,2,1,3,2
4286419,24,2,2,5,3,2
4286425,17,2,2,4,3,4
4286524,28,2,2,5,1,4
4286529,28,2,2,4,3,2
4286669,17,2,3,4,2,2
4286670,16,2,3,4,2,2
4286672,24,1,2,1,2,1
4286767,29,2,2,2,1,1
4287072,25,2,2,1,3,4
4287141,21,1,2,5,3,1
4287150,26,1,3,5,2,1
4287155,18,2,2,4,4,4
4287239,16,1,2,4,5,1
4287532,24,2,3,5,3,3
4287533,17,1,2,4,5,2
4287534,23,2,2,1,5,1
4287535,17,2,2,1,5,1
4287541,25,1,3,1,2,4
4287542,22,2,2,1,2,2
4287543,18,2,3,4,5,5
4287544,24,1,2,5,2,1
4287545,18,1,3,5,2,1
4287615,23,2,2,5,3,2
4287663,24,2,3,4,2,2
4287665,28,2,2,4,1,3
4287806,20,1,2,3,3,2
4287808,23,1,3,4,2,2
4287809,16,2,1,4,2,4
4287810,22,2,3,4,4,4
4287811,21,2,2,3,3,1
4287867,17,1,2,4,2,1
4287972,18,2,2,5,2,4
4287976,23,2,2,5,4,1
4287989,17,2,3,5,1,5
4288053,16,2,1,4,2,4
4288056,27,1,1,4,4,1
4288067,23,1,2,4,2,1
4288105,25,2,2,1,2,5
4288109,29,2,2,4,2,2
4288114,28,2,1,4,2,1
4288152,18,1,3,,3,2
4288165,16,1,3,2,2,4
4288221,26,2,1,5,2,1
4288358,26,2,1,2,5,5
4288418,21,1,2,2,2,5
4288420,29,2,2,1,5,2
4288451,25,2,2,2,2,4
4288698,20,2,2,5,3,2
4288727,18,2,,5,5,1
4288728,16,1,2,4,1,3
4288730,28,2,3,5,4,5
4288731,18,2,2,5,2,5
4288765,29,2,3,1,5,3
4288766,22,2,1,5,5,1
4288769,27,2,2,5,1,3
4288771,29,2,2,2,2,2
4288786,26,2,3,4,2,4
4288805,21,1,2,1,4,1
4288821,21,1,2,4,4,4
4288843,29,2,2,4,2,2
4288844,16,1,2,4,4,2
4288846,24,1,2,5,5,2
4288847,29,2,3,2,3,2
4288895,28,2,3,2,2,2
4288990,24,1,3,5,5,4
4289494,25,2,3,4,1,2
4289506,18,2,2,5,4,1
4289507,23,1,3,5,3,
4289508,24,2,3,5,3,1
4289509,21,1,2,1,3,1
4289510,20,1,2,5,2,1
4289511,17,2,2,5,3,1
4289533,15,1,2,1,3,1
4289597,21,1,3,3,3,1
4289598,27,1,2,2,4,2
4289631,29,1,3,4,2,4
4289632,29,2,2,2,4,1
4289633,28,2,2,2,4,3
4289636,16,1,3,4,4,1
4289657,28,1,1,2,2,5
4289730,22,2,2,5,5,2
4289778,23,2,2,5,3,2
4289779,17,1,1,4,5,4
4289780,22,2,2,5,5,4
4289781,22,2,2,5,5,4
4289809,19,1,2,4,3,1
4289856,19,2,3,3,2,1
4289861,16,1,1,4,1,2
4289870,16,1,2,4,2,1
4289910,27,2,2,4,4,3
4289971,15,1,3,2,5,3
4289974,27,2,2,4,3,1
4289990,20,2,2,4,4,4
4290079,15,2,2,2,,4
4290112,25,2,2,5,1,2
4290117,19,2,2,5,1,4
4290118,26,2,3,5,3,1
4290703,17,1,1,5,5,4
4290757,16,1,2,2,3,4
4290762,26,1,2,2,2,5
4290763,21,2,2,5,1,1
4290764,22,2,,5,5,1
4291161,18,1,2,2,5,1
4291249,16,1,3,5,3,4
4291288,22,1,2,5,4,2
4291299,21,1,3,4,4,4
4291351,17,1,2,5,4,5
4291425,24,2,2,1,4,1
4291426,26,2,2,1,4,1
4291427,18,2,2,2,4,5
4291428,28,2,2,1,4,2
4291429,25,2,2,3,3,1
4291717,29,2,3,4,5,1
4291790,28,1,,4,3,5
4291797,27,2,2,5,2,1
4291932,19,1,,5,4,1
4292000,21,1,2,4,5,2
4292030,26,2,2,3,5,1
4292034,23,1,2,3,3,1
4292085,23,1,,5,5,2
4292086,16,2,3,,,1
4292087,19,2,3,4,4,1
4292088,19,1,3,4,4,1
4292233,16,1,3,4,2,1
4292251,19,2,2,3,4,4
4292252,23,2,3,3,1,4
4292262,27,2,3,4,2,1
4292263,16,2,3,4,2,3
4292264,23,1,2,4,2,5
4292265,17,1,3,4,4,4
4292271,24,2,2,2,4,2
4292279,22,1,2,3,3,1
4292280,22,1,3,5,5,4
4292293,23,2,2,4,,3
4292295,29,1,2,4,4,4
4292320,18,2,2,1,4,2
4292321,25,2,3,1,4,1
4292322,29,1,2,2,4,2
4292323,16,2,2,3,2,3
4292324,21,2,2,4,4,4
4292325,22,2,2,4,4,1
4292326,19,1,1,5,2,4
4292331,28,2,1,4,1,1
4292332,19,1,3,4,3,5
4292333,20,2,1,4,1,1
4292334,22,1,2,4,2,1
4292335,21,2,2,4,1,1
4292336,20,1,,4,4,4
4292337,19,1,2,2,4,2
4292384,20,1,3,2,5,2
4292385,24,1,3,4,4,3
4292386,16,1,3,4,,2
4292387,19,2,,3,2,
4292401,18,1,1,4,4,4
4292402,27,1,2,2,3,1
4292411,28,2,,4,1,3
4292419,29,1,3,4,4,2
4292441,25,2,3,2,3,3
4292442,20,1,1,5,2,1
4292443,28,2,2,2,1,5
4292445,19,2,3,4,2,1
4292446,23,1,3,5,3,2
4292447,20,2,2,5,5,2
4292448,29,1,3,3,1,4
4292452,16,1,2,4,4,5
4292453,16,2,2,4,3,1
4292454,28,1,2,2,5,3
4292487,16,2,2,2,2,4
4292498,21,1,3,4,4,4
4292499,21,1,3,2,4,4
4292500,19,2,3,4,2,2
4292501,20,1,3,4,4,4
4292502,24,1,3,2,4,1
4292531,22,2,2,4,2,2
4292532,22,1,3,3,3,1
4292534,15,1,2,,,4
4292542,16,2,3,5,4,4
4292570,19,2,2,4,2,4
4292581,23,2,2,5,1,5
4292657,29,1,2,1,3,1
4293352,18,1,1,4,4,3
4293577,15,1,2,,,2
4293769,22,2,3,5,2,5
4293775,22,1,2,5,5,4
4293776,22,1,3,2,,5
4293777,24,2,3,2,2,2
4293974,20,2,1,4,2,2
4294005,29,2,2,5,2,2
4294006,26,2,3,5,5,2
4294007,25,2,3,5,5,2
4294008,23,2,2,5,3,2
4294009,21,1,2,3,4,3
4294052,27,2,3,1,3,4
4294053,19,2,2,4,4,4
4294054,28,2,3,1,4,2
4294055,24,1,3,4,2,3
4294056,23,2,3,4,2,2
4294057,19,2,3,4,2,1
4294059,17,1,3,2,3,1
4294060,24,1,3,1,4,2
4294061,16,1,3,2,4,5
4294086,18,1,3,4,2,1
4294156,28,1,2,4,5,3
4294157,17,2,2,3,3,5
4294158,20,1,2,3,1,1
4294159,24,1,2,2,3,1
4294204,17,1,2,2,2,3
4294205,22,2,3,3,5,1
4294245,25,2,2,4,3,1
4294285,24,2,2,5,2,2
4294287,21,1,2,4,4,2
4294297,20,2,2,2,4,1
4294331,25,2,3,5,3,4
4294352,28,2,2,5,1,1
4294353,29,1,2,5,4,4
4294400,16,2,2,4,2,3
4294404,17,1,2,3,2,2
4294407,16,1,2,3,4,4
4294485,27,2,2,2,2,2
4294551,19,1,,2,3,1
4294601,15,2,2,2,1,2
4294607,16,2,3,4,2,1
4294620,29,1,2,1,2,2
4294670,16,1,2,,2,1
4295071,20,2,2,5,4,1
4295081,24,1,3,5,3,1
4295262,17,2,3,4,1,4
4295267,28,1,3,4,4,1
4295271,17,2,2,4,2,2
4295272,29,1,2,2,2,1
4295273,20,2,2,4,2,1
4295278,29,2,2,4,2,5
4295279,23,2,2,4,2,5
4295280,28,1,2,4,4,2
4295409,24,2,1,1,1,5
4295429,21,1,3,4,2,4
4295442,29,1,2,4,2,1
4295447,17,2,2,1,4,2
4295609,29,2,3,4,2,2
4295610,18,1,3,5,4,2
4295611,20,2,3,5,4,5
4295697,20,2,2,4,2,3
4295701,27,2,2,4,3,4
4295702,26,1,3,2,3,3
4295703,27,2,2,4,3,2
4295704,26,2,3,4,2,1
4295705,21,2,2,2,3,1
4295706,26,2,2,3,3,1
4295707,23,1,3,4,2,1
4295708,16,2,2,4,4,4
4295734,21,2,3,5,5,2
4295931,18,1,3,4,4,2
4295977,18,1,2,3,4,3
4296056,18,1,2,5,3,1
4296074,29,1,1,2,4,5
4296075,29,1,2,4,4,1
4296077,25,2,2,4,4,1
4296078,24,1,1,2,4,
4296080,29,1,2,4,1,2
4296309,20,2,2,5,1,2
4296310,16,1,3,4,1,4
4296342,25,2,3,4,1,2
4296348,22,1,3,2,2,3
4296494,17,2,3,4,2,4
4296497,22,2,3,5,1,3
4296500,19,1,2,5,1,5
4296503,25,2,2,5,1,2
4296660,25,2,3,4,3,3
4296661,19,2,2,5,1,1
4296709,18,1,3,4,3,2
4296765,26,2,,2,4,1
4296771,29,1,2,4,1,1
4296870,29,2,2,4,2,5
4296871,25,2,3,4,4,4
4296952,26,2,1,2,2,1
4296996,28,2,2,5,5,3
4296998,25,2,2,1,5,1
4297017,19,1,3,4,4,1
4297019,28,2,2,4,4,2
4297020,22,2,3,4,4,4
4297021,20,1,3,4,4,3
4297023,17,1,3,4,4,4
4297024,22,2,3,3,3,1
4297026,17,2,2,4,4,2
4297029,29,2,2,4,2,1
4297057,28,1,3,1,4,1
4297111,20,2,2,4,2,5
4297113,20,2,2,4,3,1
4297115,24,2,3,1,1,5
4297116,22,2,2,5,1,2
4297210,25,2,2,2,2,2
4297224,21,1,3,4,1,2
4297280,24,2,3,1,3,4
4297283,29,2,3,5,4,1
4297285,17,2,2,1,5,5
4297331,29,1,3,2,4,2
4297336,20,2,2,5,3,2
4297337,21,1,2,5,3,4
4297338,19,1,2,4,3,2
4297339,17,2,2,5,1,4
4297381,28,2,3,4,2,4
4297483,18,2,2,5,2,4
4297484,20,2,,3,1,2
4297485,18,1,3,4,3,2
4297502,27,2,2,3,3,2
4297514,20,2,2,5,4,1
4297521,16,2,1,5,3,2
4297582,23,1,3,4,4,3
4297586,20,2,2,5,,5
4297603,26,1,2,4,2,3
4297654,18,2,2,5,2,1
4297655,25,2,2,2,5,1
4297673,20,1,2,4,4,3
4297731,16,2,1,2,2,4
4297826,24,1,3,5,1,1
4297831,29,1,3,5,2,2
4297834,20,2,3,4,2,2
4297837,28,2,3,3,2,1
4297840,16,2,3,5,3,1
4297843,19,1,3,4,4,1
4297844,16,1,3,4,4,4
4297864,16,2,2,2,5,2
4297865,18,1,3,1,5,1
4297887,20,1,3,2,4,2
4297888,17,2,3,5,3,2
4297889,22,1,2,1,1,4
4297890,18,1,3,5,5,2
4297891,19,2,2,5,5,4
4297968,27,2,2,4,4,2
4297969,24,2,2,2,4,2
4297978,16,2,3,2,3,1
4297979,26,2,2,4,4,
4297980,29,1,2,2,4,2
4297981,29,1,2,2,4,2
4297987,28,1,2,2,5,2
4297988,28,2,3,1,4,4
4297991,24,2,2,4,3,4
4298039,21,1,2,4,5,1
4298130,16,1,3,5,5,5
4298132,17,2,3,4,2,2
4298133,20,1,2,4,4,
4298136,22,1,2,5,4,1
4298137,24,1,3,4,4,2
4298138,18,1,3,1,4,4
4298139,27,2,2,4,4,5
4298140,20,2,3,1,3,2
4298141,16,1,2,3,3,2
4298145,20,1,3,3,4,1
4298147,29,2,2,4,2,4
4298148,23,2,2,5,5,3
4298149,23,1,3,3,3,4
4298150,17,2,3,5,5,3
4298151,21,1,2,5,1,2
4298155,25,1,2,5,2,1
4298159,27,1,2,4,4,5
4298160,17,1,2,3,3,1
4298162,25,1,3,4,5,4
4298164,19,1,2,5,5,2
4298165,27,1,3,1,4,1
4298166,28,2,3,3,5,2
4298167,21,2,3,5,2,2
4298220,20,1,,4,,2
4298221,25,2,2,5,1,4
4298224,26,2,3,5,3,1
4298227,25,2,2,5,3,1
4298228,24,2,2,5,2,2
4298232,26,1,2,4,3,3
4298267,26,2,2,5,3,1
4298271,16,1,2,1,4,3
4298276,16,2,2,5,4,3
4298310,17,2,,5,4,1
4298321,23,2,2,4,3,5
4298343,29,2,3,2,4,3
4298344,24,2,3,5,1,2
4298345,22,2,3,4,2,1
4298347,19,2,3,4,2,3
4298348,21,2,3,3,2,1
4298349,24,2,3,4,2,4
4298350,18,1,3,4,2,3
4298351,25,2,3,4,4,3
4298511,21,2,2,2,1,
4298527,16,2,2,2,2,2
4298528,18,1,2,4,4,3
4298531,25,1,2,2,3,5
4298739,17,1,3,5,2,3
4298951,26,2,3,4,3,2
4299492,23,1,2,2,3,3
4299649,16,1,3,5,5,4
4299650,15,2,2,5,4,2
4299651,20,2,2,2,5,2
4299652,27,1,2,1,5,3
4299655,21,2,2,2,3,4
4299684,21,2,2,5,5,3
4299685,27,2,3,4,4,2
4299698,25,1,1,4,2,2
4299903,29,2,3,5,5,3
4299910,16,1,2,5,5,2
4299998,25,2,3,4,2,2
4300001,25,1,2,2,2,1
4300116,20,1,3,5,5,1
4300119,21,2,3,4,4,1
4300163,26,2,3,5,3,4
