FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4150179,23,2,2,4,4,3
4150274,15,1,3,5,5,3
4150277,19,1,3,2,3,2
4150278,18,2,3,4,4,1
4150285,19,2,3,3,4,4
4150289,21,2,3,4,3,2
4150367,25,2,2,5,1,4
4151479,24,1,3,4,,5
4151480,28,1,3,4,5,2
4152132,27,2,3,4,3,4
4152133,16,2,2,3,3,4
4152134,20,1,2,3,4,1
4152135,18,2,3,5,4,1
4152136,27,2,2,1,4,1
4152139,25,2,2,3,3,2
4152140,24,2,3,1,5,2
4152144,21,1,3,1,4,1
4152145,29,2,2,3,3,2
4153172,29,1,1,4,2,3
4153173,28,1,2,4,4,4
4154417,27,2,2,5,4,4
4154418,16,2,2,1,4,2
4154419,17,2,3,2,3,4
4154422,25,1,2,4,4,2
4154423,17,2,3,4,2,4
4154437,25,2,2,4,1,2
4154438,21,1,2,3,2,3
4154729,24,2,2,5,5,4
4154733,16,1,2,4,3,1
4155350,16,2,3,5,1,2
4155624,24,2,3,1,3,2
4155843,26,2,3,2,2,1
4155860,28,1,2,4,,2
4155862,18,2,2,5,,4
4156971,17,2,,4,2,
4156981,24,2,1,4,2,1
4157189,18,2,3,4,3,4
4157340,20,2,3,,1,4
4157539,16,1,3,4,4,3
4157541,27,2,2,1,5,3
4157549,25,2,3,4,5,5
4157551,22,2,3,1,5,4
4157676,28,1,3,5,3,1
4158198,18,2,,4,4,5
4158417,16,1,2,5,3,5
4158430,17,2,2,5,5,
4158431,25,2,3,2,4,3
4159038,27,1,3,5,4,2
4159353,18,1,2,1,4,5
4159423,20,2,,5,1,5
4159433,21,2,2,4,3,
4159437,22,2,2,5,2,2
4159441,24,1,3,2,2,2
4159485,19,1,3,3,1,3
4159493,17,1,2,5,3,1
4159680,18,2,2,3,4,2
4159683,22,2,2,1,1,3
4159702,26,2,2,2,4,3
4159704,27,1,1,4,4,3
4159705,28,1,1,2,4,3
4159706,22,1,,4,4,3
4159707,25,2,2,4,2,2
4159847,16,2,3,5,5,2
4159853,27,1,2,1,5,3
4159864,21,2,1,5,5,2
4160348,21,1,,5,2,1
4160384,17,1,2,4,4,
4160385,16,2,1,4,3,5
4160668,17,2,3,5,4,5
4160764,21,2,,4,1,2
4161011,29,2,2,4,2,4
4161014,27,2,2,4,4,1
4161015,20,2,2,5,2,1
4161017,28,1,2,4,4,5
4161020,17,1,1,5,4,1
4161424,19,2,2,2,4,2
4161660,28,2,2,3,4,2
4161663,29,2,3,1,4,2
4161665,21,2,3,4,2,4
4161781,22,1,1,2,4,4
4161880,18,2,3,2,2,4
4161888,21,2,2,3,2,4
4162091,23,1,,3,5,3
4162126,17,1,2,,3,3
4162199,20,1,,3,3,3
4162476,27,1,,4,3,2
4162477,20,2,2,,,3
4162478,24,2,,4,,4
4162481,17,2,2,2,3,5
4162512,16,2,3,3,4,2
4163344,27,1,2,4,2,1
4163345,15,2,2,5,4,4
4163669,24,2,2,5,1,2
4163856,19,2,2,5,5,4
4163857,29,1,3,4,4,5
4163858,17,2,2,4,1,1
4163925,27,1,2,3,5,4
4163993,16,2,1,4,2,2
4163995,26,2,3,1,4,1
4164002,20,2,2,4,1,3
4164003,15,2,2,4,,2
4164011,20,2,2,5,3,4
4164019,24,1,3,1,4,2
4164030,23,2,3,4,2,5
4164033,21,2,3,4,3,
4164036,21,2,2,3,5,1
4164052,20,2,2,4,2,2
4164056,20,2,2,4,2,4
4164060,20,1,3,5,3,2
4164082,20,1,2,3,4,5
4164089,20,2,2,1,4,3
4164151,21,2,2,3,3,3
4164155,17,2,2,4,2,1
4164156,23,2,,2,4,4
4164157,22,1,3,4,2,2
4164166,19,1,3,3,2,1
4164171,23,2,3,4,2,
4164176,15,1,,2,4,1
4164178,18,2,2,4,2,1
4164284,23,1,2,2,3,1
4164344,22,1,2,4,3,1
4164459,20,2,3,4,3,2
4164515,21,1,2,5,2,
4165218,18,1,2,4,5,4
4165230,17,2,3,3,3,5
4165617,26,2,1,1,1,2
4166005,15,1,3,5,4,2
4166771,15,2,2,4,4,5
4166779,16,2,3,1,4,2
4166786,22,1,2,4,4,5
4166849,29,2,2,4,3,5
4166854,20,2,3,2,4,1
4166855,24,1,3,4,3,
4166948,29,1,3,5,1,2
4167109,22,1,3,2,4,1
4167153,22,2,3,5,5,5
4167161,22,2,2,4,3,
4167182,22,2,3,2,4,2
4167187,15,2,2,5,3,2
4167190,24,2,2,4,4,2
4167193,18,2,3,4,3,1
4167199,15,2,2,5,3,1
4167202,27,1,3,1,5,1
4167203,25,1,3,4,1,4
4167205,28,1,2,4,4,3
4167312,19,2,2,2,4,4
4167350,26,2,3,3,4,2
4167354,16,2,2,4,2,1
4167377,19,1,2,3,3,2
